violation,total_stops,citations,citation_rate,white,hispanic,black,asian/pacific islander,unknown,other,stop_white,stop_hispanic,stop_black,stop_asian/pacific islander,stop_unknwon,stop_other,year
Fail to Maintain Financial Responsibility (#)|Speeding Over Limit (#),17385,82,0.0047,29,35,8,1,9,0,10377,5025,1210,181,574,18,2009
Fail to Maintain Financial Responsibility (#)|Speeding-10% or More Above Posted Speed (#),17147,16922,0.9869,135,74,5,4,7,0,8139,6420,1629,306,633,20,2009
No/Improper Tail Lamp - not Motorcycle,16855,136,0.0081,67,54,9,0,5,1,10173,4670,1343,206,450,13,2009
Fail To Signal Lane Change,16493,194,0.0118,99,58,25,9,3,0,8768,4887,1897,289,637,15,2009
Fail To Report Change Of Address/Name|Speeding Over Limit (#),15403,19,0.0012,11,8,0,0,0,0,9891,3877,1288,165,163,19,2009
Operate Motor Vehicle Without License Plates (Or With One Plate)|Speeding Over Limit (#),14033,20,0.0014,8,8,2,0,2,0,9449,2609,1366,366,228,15,2009
Inoperable/Obscured Stop Lamp(s) (#),13167,34,0.0026,11,19,4,0,0,0,7478,3864,1323,236,253,13,2009
Fail To Display Driver License|Speeding Over Limit (#),12998,19,0.0015,6,10,1,1,1,0,6708,4561,1394,97,230,8,2009
No DL When Unlicensed-Not CDL|Speeding-10% or More Above Posted Speed (#),9722,9717,0.9995,0,5,0,0,0,0,1059,7573,892,20,172,6,2009
Speeding Over Limit (#),806271,896,0.0011,440,327,67,17,44,1,511234,186287,68873,12047,26816,1014,2010
Speeding-10% or More Above Posted Speed (#),300792,292806,0.9735,4726,2299,583,118,248,12,166530,86622,28419,8485,10297,439,2010
No/Improper License Plate Lamp,77504,38,0.0005,19,11,6,2,0,0,39165,26691,8387,844,2310,107,2010
Operate Motor Vehicle Without License Plates (Or With One Plate),72817,891,0.0122,624,167,65,23,11,1,45316,17806,6868,1612,1127,88,2010
No/Non-Compliant Head Lamps (#),47815,42,0.0009,23,13,4,1,0,1,27152,12665,5248,1011,1675,64,2010
Improperly Placed Or Obstructed License Plate (#),29410,100,0.0034,48,34,14,1,2,1,11195,13286,3566,382,952,29,2010
Drive On Improved Shoulder When Prohibited,21848,293,0.0134,175,81,24,7,6,0,8520,10739,1753,242,569,25,2010
No/Improper Tail Lamp - not Motorcycle,19909,131,0.0066,60,55,11,0,5,0,11639,5804,1695,204,549,18,2010
Fail To Signal Lane Change,19692,218,0.0111,121,59,26,7,4,1,10043,6304,2167,369,783,26,2010
Fail to Maintain Financial Responsibility (#)|Speeding Over Limit (#),17866,55,0.0031,24,25,4,0,2,0,10777,4997,1211,206,652,23,2010
Fail To Report Change Of Address/Name|Speeding Over Limit (#),15942,21,0.0013,13,8,0,0,0,0,10233,3892,1345,193,255,24,2010
Inoperable/Obscured Stop Lamp(s) (#),14268,48,0.0034,19,25,2,1,1,0,7773,4428,1558,247,250,12,2010
Operate Motor Vehicle Without License Plates (Or With One Plate)|Speeding Over Limit (#),14244,16,0.0011,12,3,1,0,0,0,9717,2530,1395,382,204,16,2010
Fail to Maintain Financial Responsibility (#)|Speeding-10% or More Above Posted Speed (#),14200,13988,0.9851,124,75,11,1,1,0,6676,5328,1430,232,519,15,2010
Fail To Display Driver License|Speeding Over Limit (#),13135,16,0.0012,9,6,1,0,0,0,6878,4546,1386,86,227,12,2010
No DL When Unlicensed-Not CDL|Speeding-10% or More Above Posted Speed (#),9613,9603,0.999,0,10,0,0,0,0,916,7639,847,46,158,7,2010
Speeding Over Limit (#),815329,1076,0.0013,542,390,64,22,56,2,519684,184935,68846,13300,27423,1141,2011
Speeding-10% or More Above Posted Speed (#),292326,284656,0.9738,4606,2155,576,114,215,4,160306,84228,28054,9009,10287,442,2011
No/Improper License Plate Lamp,80053,36,0.0004,18,11,5,0,1,1,40687,27235,8528,959,2529,115,2011
Operate Motor Vehicle Without License Plates (Or With One Plate),77606,1262,0.0163,823,245,133,50,10,1,48641,18137,7576,1908,1241,103,2011
No/Non-Compliant Head Lamps (#),50948,65,0.0013,33,22,7,1,2,0,28964,13254,5573,1163,1914,80,2011
Improperly Placed Or Obstructed License Plate (#),34125,163,0.0048,76,65,15,5,2,0,13314,14816,4397,462,1096,40,2011
Drive On Improved Shoulder When Prohibited,22079,262,0.0119,151,72,27,8,4,0,9085,9810,2174,300,687,23,2011
No/Improper Tail Lamp - not Motorcycle,21300,124,0.0058,57,47,13,3,4,0,12346,6099,1909,238,682,26,2011
Fail To Signal Lane Change,20057,196,0.0098,107,55,17,14,3,0,10496,6128,2193,444,765,31,2011
Fail to Maintain Financial Responsibility (#)|Speeding Over Limit (#),16950,61,0.0036,32,20,4,0,5,0,10123,4811,1195,211,585,25,2011
Inoperable/Obscured Stop Lamp(s) (#),16825,40,0.0024,15,20,4,0,1,0,8689,5583,1814,393,333,13,2011
Fail To Report Change Of Address/Name|Speeding Over Limit (#),15262,22,0.0014,9,8,4,1,0,0,9786,3653,1380,206,218,19,2011
Operate Motor Vehicle Without License Plates (Or With One Plate)|Speeding Over Limit (#),13933,17,0.0012,10,4,0,2,1,0,9441,2382,1431,429,234,16,2011
Fail to Maintain Financial Responsibility (#)|Speeding-10% or More Above Posted Speed (#),13275,13041,0.9824,140,72,12,3,7,0,6443,4838,1181,240,544,29,2011
Fail To Display Driver License|Speeding Over Limit (#),12520,20,0.0016,4,14,1,0,1,0,6463,4377,1315,108,237,20,2011
No DL When Unlicensed-Not CDL|Speeding-10% or More Above Posted Speed (#),9842,9834,0.9992,2,6,0,0,0,0,926,7861,853,35,158,8,2011
Speeding Over Limit (#),752908,4217,0.0056,2262,1318,289,105,237,6,492370,160410,64108,12220,22371,1409,2012
Speeding-10% or More Above Posted Speed (#),288015,278169,0.9658,5868,2799,731,184,245,19,159383,82956,26550,9014,9518,591,2012
Operate Motor Vehicle Without License Plates (Or With One Plate),69238,1179,0.017,815,210,90,51,11,2,43840,15830,6538,1817,1102,111,2012
No/Improper License Plate Lamp,61001,29,0.0005,18,9,1,1,0,0,31748,19385,7063,848,1857,100,2012
No/Non-Compliant Head Lamps (#),46970,46,0.001,17,17,6,2,4,0,26512,12442,5250,1031,1652,81,2012
Improperly Placed Or Obstructed License Plate (#),30191,260,0.0086,125,85,39,8,3,0,12255,12211,4290,427,959,49,2012
No/Improper Tail Lamp - not Motorcycle,19538,150,0.0077,72,56,14,2,6,0,11405,5366,1857,277,604,29,2012
Drive On Improved Shoulder When Prohibited,19255,388,0.0202,207,102,56,16,6,1,8216,7922,2113,317,647,40,2012
Inoperable/Obscured Stop Lamp(s) (#),18149,64,0.0035,27,29,5,0,3,0,9542,5869,1958,418,339,23,2012
Fail To Signal Lane Change,17731,261,0.0147,143,73,25,13,7,0,9339,5091,2131,461,673,36,2012
Fail to Maintain Financial Responsibility (#)|Speeding Over Limit (#),15458,230,0.0149,128,81,11,1,8,1,9491,4223,1061,186,461,35,2012
Fail To Report Change Of Address/Name|Speeding Over Limit (#),13806,87,0.0063,52,23,9,1,2,0,8945,3134,1317,193,191,26,2012
Fail to Maintain Financial Responsibility (#)|Speeding-10% or More Above Posted Speed (#),13213,12911,0.9771,190,85,19,3,5,0,6461,4714,1266,229,513,30,2012
Operate Motor Vehicle Without License Plates (Or With One Plate)|Speeding Over Limit (#),11484,64,0.0056,41,15,4,3,1,0,7868,1956,1140,316,183,21,2012
Fail To Display Driver License|Speeding Over Limit (#),11239,51,0.0045,19,24,5,1,2,0,6020,3695,1183,108,222,10,2012
No DL When Unlicensed-Not CDL|Speeding-10% or More Above Posted Speed (#),9704,9685,0.998,2,13,1,2,0,1,913,7677,873,42,181,18,2012
Speeding Over Limit (#),657553,4110,0.0063,2520,1031,245,111,189,14,425190,146349,54162,10615,19648,1573,2013
Speeding-10% or More Above Posted Speed (#),259418,249939,0.9635,5733,2695,673,147,195,25,141164,76919,24133,8358,8090,727,2013
Operate Motor Vehicle Without License Plates (Or With One Plate),58460,870,0.0149,622,157,63,21,4,3,36362,13901,5651,1416,995,129,2013
No/Improper License Plate Lamp,45937,17,0.0004,4,6,6,0,1,0,23296,15511,4911,673,1447,89,2013
No/Non-Compliant Head Lamps (#),34616,41,0.0012,16,13,9,1,2,0,18455,10314,3630,771,1353,91,2013
Improperly Placed Or Obstructed License Plate (#),24302,176,0.0072,81,56,23,14,2,0,9858,10271,2906,347,866,54,2013
No/Improper Tail Lamp - not Motorcycle,16101,96,0.006,42,35,10,3,5,1,9246,4550,1544,192,532,37,2013
Inoperable/Obscured Stop Lamp(s) (#),15679,43,0.0027,19,15,5,0,4,0,8187,5049,1737,372,307,25,2013
Drive On Improved Shoulder When Prohibited,15039,298,0.0198,155,95,31,15,2,0,6760,6076,1400,259,497,44,2013
Fail To Signal Lane Change,14569,170,0.0117,85,56,21,2,4,2,7408,4630,1571,383,549,25,2013
Fail to Maintain Financial Responsibility (#)|Speeding Over Limit (#),13608,180,0.0132,117,39,12,4,7,1,8429,3637,975,147,395,25,2013
Fail To Report Change Of Address/Name|Speeding Over Limit (#),12251,109,0.0089,69,30,4,2,3,1,7979,2731,1143,194,176,27,2013
Fail to Maintain Financial Responsibility (#)|Speeding-10% or More Above Posted Speed (#),11475,11205,0.9765,173,78,10,4,5,0,5480,4231,1117,223,397,27,2013
Operate Motor Vehicle Without License Plates (Or With One Plate)|Speeding Over Limit (#),10044,76,0.0076,49,20,5,2,0,0,6744,1825,1005,267,179,24,2013
No DL When Unlicensed-Not CDL|Speeding-10% or More Above Posted Speed (#),10025,10015,0.999,0,8,2,0,0,0,745,8276,810,32,139,22,2013
Fail To Display Driver License|Speeding Over Limit (#),9806,56,0.0057,21,26,7,0,2,0,5105,3363,1052,82,184,20,2013
Speeding Over Limit (#),558597,2396,0.0043,1390,690,167,50,97,2,337001,147084,45062,8905,19253,1292,2014
Speeding-10% or More Above Posted Speed (#),233453,224078,0.9598,5255,3048,669,162,224,17,121310,72904,22527,7357,8683,672,2014
Operate Motor Vehicle Without License Plates (Or With One Plate),55183,890,0.0161,570,183,80,42,13,2,32261,15227,5061,1358,1136,140,2014
No/Non-Compliant Head Lamps (#),40831,35,0.0009,14,18,1,1,1,0,20284,13704,4238,728,1761,116,2014
No/Improper License Plate Lamp,39008,11,0.0003,1,9,1,0,0,0,16944,16771,3543,409,1259,82,2014
Improperly Placed Or Obstructed License Plate (#),24858,202,0.0081,91,88,15,5,1,2,9114,11772,2678,385,857,52,2014
Inoperable/Obscured Stop Lamp(s) (#),18481,46,0.0025,19,19,8,0,0,0,7061,9174,1631,292,299,24,2014
No/Improper Tail Lamp - not Motorcycle,14887,75,0.005,26,36,8,1,4,0,7501,5305,1322,171,558,30,2014
Drive On Improved Shoulder When Prohibited,12390,349,0.0282,192,84,47,16,8,2,5163,5636,967,197,393,34,2014
Fail To Signal Lane Change,11940,179,0.015,101,52,13,8,5,0,5680,4238,1226,280,483,33,2014
Fail to Maintain Financial Responsibility (#)|Speeding Over Limit (#),10282,89,0.0087,40,34,9,0,6,0,5738,3444,676,115,290,19,2014
Fail To Report Change Of Address/Name|Speeding Over Limit (#),10130,65,0.0064,42,16,3,1,3,0,6174,2702,935,119,177,23,2014
Operate Motor Vehicle Without License Plates (Or With One Plate)|Speeding Over Limit (#),9484,49,0.0052,36,10,2,1,0,0,6162,1916,940,265,182,19,2014
Fail to Maintain Financial Responsibility (#)|Speeding-10% or More Above Posted Speed (#),9250,8928,0.9652,164,120,29,4,4,1,4136,3627,948,167,336,36,2014
No DL When Unlicensed-Not CDL|Speeding-10% or More Above Posted Speed (#),8619,8610,0.999,0,8,1,0,0,0,629,7034,775,23,140,18,2014
Fail To Display Driver License|Speeding Over Limit (#),8363,30,0.0036,15,11,3,1,0,0,3900,3313,894,67,167,22,2014
Speeding Over Limit (#),529145,1180,0.0022,639,366,90,15,64,6,298868,155879,43000,8652,21145,1601,2015
Speeding-10% or More Above Posted Speed (#),212943,205666,0.9658,3544,2752,626,133,203,19,103526,71756,20571,6979,9295,816,2015
Operate Motor Vehicle Without License Plates (Or With One Plate),51777,507,0.0098,277,156,45,18,9,2,27548,16664,4764,1244,1378,179,2015
No/Non-Compliant Head Lamps (#),41910,36,0.0009,20,11,5,0,0,0,19318,15740,4090,689,1918,155,2015
No/Improper License Plate Lamp,32274,10,0.0003,5,4,1,0,0,0,12725,14978,2796,399,1280,96,2015
Improperly Placed Or Obstructed License Plate (#),25272,132,0.0052,55,64,7,5,1,0,8174,13256,2504,322,953,63,2015
Inoperable/Obscured Stop Lamp(s) (#),20337,38,0.0019,14,21,2,1,0,0,7189,10743,1663,318,394,30,2015
No/Improper Tail Lamp - not Motorcycle,13983,56,0.004,28,22,3,0,3,0,6455,5641,1116,209,523,39,2015
Fail To Signal Lane Change,11084,137,0.0124,66,53,11,4,2,1,4866,4371,1099,264,451,33,2015
Drive On Improved Shoulder When Prohibited,10024,377,0.0376,166,133,43,16,17,2,3651,5191,668,144,341,29,2015
Fail To Report Change Of Address/Name|Speeding Over Limit (#),9631,35,0.0036,22,9,3,1,0,0,5715,2616,939,140,192,29,2015
No DL When Unlicensed-Not CDL|Speeding-10% or More Above Posted Speed (#),9243,9231,0.9987,0,12,0,0,0,0,613,7562,848,29,156,35,2015
Fail to Maintain Financial Responsibility (#)|Speeding Over Limit (#),8982,47,0.0052,22,16,7,0,2,0,4731,3265,584,99,286,17,2015
Operate Motor Vehicle Without License Plates (Or With One Plate)|Speeding Over Limit (#),8839,24,0.0027,15,4,4,1,0,0,5416,2015,873,271,238,26,2015
Fail To Display Driver License|Speeding Over Limit (#),8249,26,0.0032,9,16,1,0,0,0,3610,3566,835,64,149,25,2015
Fail to Maintain Financial Responsibility (#)|Speeding-10% or More Above Posted Speed (#),8024,7746,0.9654,138,116,13,10,1,0,3368,3327,808,152,336,33,2015
Speeding Over Limit (#),552698,1040,0.0019,601,344,75,18,0,2,324971,170651,48395,8201,1,477,2016
Speeding-10% or More Above Posted Speed (#),226539,219343,0.9682,3572,2896,615,108,0,5,114689,82245,23146,6215,0,243,2016
Operate Motor Vehicle Without License Plates (Or With One Plate),57819,597,0.0103,311,223,52,11,0,0,30974,20075,5548,1185,0,37,2016
No/Non-Compliant Head Lamps (#),40423,31,0.0008,12,14,3,2,0,0,19741,15726,4304,621,0,31,2016
No/Improper License Plate Lamp,29260,6,0.0002,2,4,0,0,0,0,12649,13255,2909,417,0,30,2016
Improperly Placed Or Obstructed License Plate (#),27973,181,0.0065,63,91,24,3,0,0,9847,14715,3094,293,0,24,2016
Inoperable/Obscured Stop Lamp(s) (#),16441,42,0.0026,15,23,3,1,0,0,6459,7984,1666,326,0,6,2016
No/Improper Tail Lamp - not Motorcycle,12812,48,0.0037,19,24,4,1,0,0,6394,5018,1209,182,0,9,2016
No DL When Unlicensed-Not CDL|Speeding-10% or More Above Posted Speed (#),11152,11139,0.9988,0,13,0,0,0,0,691,9374,1047,35,0,5,2016
Operate Motor Vehicle Without License Plates (Or With One Plate)|Speeding Over Limit (#),10224,27,0.0026,18,8,1,0,0,0,6331,2527,1067,288,0,11,2016
Fail To Signal Lane Change,9966,134,0.0134,61,57,10,5,0,1,4562,4050,1082,258,0,14,2016
Fail To Report Change Of Address/Name|Speeding Over Limit (#),9964,25,0.0025,17,6,2,0,0,0,5840,3008,1009,102,0,5,2016
Drive On Improved Shoulder When Prohibited,9150,435,0.0475,204,149,68,14,0,0,3727,4518,754,139,0,12,2016
Fail to Maintain Financial Responsibility (#)|Speeding Over Limit (#),8635,39,0.0045,21,14,3,1,0,0,4833,3113,598,85,0,6,2016
Fail to Maintain Financial Responsibility (#)|Speeding-10% or More Above Posted Speed (#),8503,8317,0.9781,83,84,18,1,0,0,3496,3923,958,120,0,6,2016
Fail To Display Driver License|Speeding Over Limit (#),8220,10,0.0012,6,3,1,0,0,0,3569,3708,868,70,0,5,2016
Speeding Over Limit (#),621080,773,0.0012,400,297,55,19,0,1,353916,202441,54062,10080,0,579,2017
Speeding-10% or More Above Posted Speed (#),254732,244721,0.9607,5205,3928,739,134,0,5,126525,95236,25527,7151,0,292,2017
Operate Motor Vehicle Without License Plates (Or With One Plate),75895,741,0.0098,372,288,60,21,0,0,39270,26698,8116,1759,0,52,2017
No/Non-Compliant Head Lamps (#),48219,41,0.0009,13,19,7,2,0,0,21435,20584,5373,777,0,50,2017
Improperly Placed Or Obstructed License Plate (#),41824,228,0.0055,77,119,24,7,0,1,13565,22558,5066,594,0,41,2017
No/Improper License Plate Lamp,33667,11,0.0003,5,5,1,0,0,0,13445,16093,3624,484,0,21,2017
Inoperable/Obscured Stop Lamp(s) (#),19478,57,0.0029,18,31,8,0,0,0,7072,9696,2318,368,0,24,2017
No/Improper Tail Lamp - not Motorcycle,14116,43,0.003,17,20,4,2,0,0,6672,5768,1441,224,0,11,2017
Fail To Signal Lane Change,13658,162,0.0119,89,47,18,8,0,0,5837,5910,1520,367,0,24,2017
Drive On Improved Shoulder When Prohibited,12879,479,0.0372,208,170,81,19,0,1,4849,6836,958,227,0,9,2017
Operate Motor Vehicle Without License Plates (Or With One Plate)|Speeding Over Limit (#),12708,21,0.0017,10,9,1,1,0,0,7852,3043,1459,342,0,12,2017
No DL When Unlicensed-Not CDL|Speeding-10% or More Above Posted Speed (#),11756,11745,0.9991,1,8,2,0,0,0,669,10001,1042,40,0,4,2017
Fail To Report Change Of Address/Name|Speeding Over Limit (#),11431,16,0.0014,9,3,4,0,0,0,6499,3657,1129,136,0,9,2017
Fail to Maintain Financial Responsibility (#)|Speeding-10% or More Above Posted Speed (#),9053,8930,0.9864,55,58,9,1,0,0,3603,4172,1115,156,0,7,2017
Fail To Display Driver License|Speeding Over Limit (#),8923,11,0.0012,4,5,2,0,0,0,3751,4137,964,67,0,4,2017
Fail to Maintain Financial Responsibility (#)|Speeding Over Limit (#),8831,20,0.0023,9,11,0,0,0,0,4461,3626,644,94,0,6,2017
